VendorName,TotalPurchaseDollars,PurchaseContribution
ULTRA BEVERAGE COMPANY LLP,175896.20000000153,0.057232047672554194
JIM BEAM BRANDS COMPANY,175300.60000000295,0.057038254926641024
PROXIMO SPIRITS INC.,175182.80000000208,0.05699992587111922
MARTIGNETTI COMPANIES,174279.16999999786,0.05670590817637316
E & J GALLO WINERY,174013.83999999907,0.05661957669673409
WILLIAM GRANT & SONS INC,173905.06999999826,0.05658418576830363
DIAGEO NORTH AMERICA INC,172463.25000000256,0.05611505504816871
CONSTELLATION BRANDS INC,171579.19999999637,0.055827408176063034
DIAGEO NORTH AMERICA INC,171271.4500000013,0.05572727433194959
CAMPARI AMERICA,171204.03999999896,0.055705340871569316
E & J GALLO WINERY,171082.7000000033,0.05566585999213963
E & J GALLO WINERY,170232.19999999975,0.05538912941725677
HEAVEN HILL DISTILLERIES,169837.91999999908,0.05526084096215444
STE MICHELLE WINE ESTATES,168991.41000000003,0.05498540862947619
BACARDI USA INC,168237.44000000186,0.05474008640543968
MOET HENNESSY USA INC,168165.6899999997,0.054716740821961304
JIM BEAM BRANDS COMPANY,167988.88000000035,0.05465921144754078
DIAGEO NORTH AMERICA INC,167302.90000000008,0.05443601140079484
ULTRA BEVERAGE COMPANY LLP,167098.59999999974,0.05436953749550569
DIAGEO NORTH AMERICA INC,167060.5,0.05435714074664863
SAZERAC CO INC,166883.84999999515,0.05429966343206404
DIAGEO NORTH AMERICA INC,166438.27999999814,0.05415468654523369
WINE GROUP INC,166001.9199999972,0.05401270635281083
REMY COINTREAU USA INC,165858.69999999754,0.05396610629057161
CONSTELLATION BRANDS INC,164934.03999999826,0.05366524598090681
MAJESTIC FINE WINES,164833.49999999962,0.05363253288037978
DIAGEO NORTH AMERICA INC,164702.99999999846,0.05359007157523883
DIAGEO NORTH AMERICA INC,164577.28000000108,0.053549165557750994
PROXIMO SPIRITS INC.,164295.7499999977,0.05345756301954126
SIDNEY FRANK IMPORTING CO,164159.44999999885,0.053413214545283694
PERNOD RICARD USA,163718.92000000217,0.05326987754334164
"STOLI GROUP,(USA) LLC",163006.99000000182,0.05303823404166542
DIAGEO NORTH AMERICA INC,161617.1699999984,0.05258602276878708
DIAGEO NORTH AMERICA INC,160462.16999999958,0.052210215815244404
MAJESTIC FINE WINES,160132.9800000028,0.05210310595287589
JIM BEAM BRANDS COMPANY,159968.87999999578,0.05204971208181178
M S WALKER INC,159597.3199999994,0.05192881612366711
PHILLIPS PRODUCTS CO.,159461.63999999635,0.05188466938127934
CONSTELLATION BRANDS INC,159239.57999999734,0.05181241683400367
DIAGEO NORTH AMERICA INC,158974.20000000173,0.05172606908566635
CONSTELLATION BRANDS INC,158904.59999999995,0.05170342305625747
DIAGEO NORTH AMERICA INC,158768.40000000002,0.05165910711939812
JIM BEAM BRANDS COMPANY,157919.3999999991,0.05138286460549474
DIAGEO CHATEAU ESTATE WINES,157271.19000000154,0.05117195393419152
E & J GALLO WINERY,157054.58999999796,0.05110147792887657
LUXCO INC,156866.55000000293,0.05104029460459746
JIM BEAM BRANDS COMPANY,156601.5300000009,0.05095406399089293
JIM BEAM BRANDS COMPANY,156065.98000000083,0.05077980995282365
STE MICHELLE WINE ESTATES,155638.7100000019,0.050640787409931935
CASTLE BRANDS CORP.,155353.0,0.05054782480846223
TREASURY WINE ESTATES,155219.96000000165,0.05050453705339839
DIAGEO NORTH AMERICA INC,155135.0999999995,0.05047692581696681
CALEDONIA SPIRITS INC,154785.92000000173,0.0503633117286228
